GeneSymbol;minGroupSize;IMDstatus;Collaborators
ACAT1;8;Prescribed;Heidelberg, Budapest
SLC6A19;5;Prescribed;Tel Aviv, Heidelberg
SLC25A13;30;Prescribed;Bangkok, Heidelberg, Tokyo, Tel Aviv
PC;5;Prescribed;London, New York, Madrid
SLC3A1;20;Prescribed;Paris, Berlin, Madrid
AUH;15;Prescribed;Heidelberg, Tokyo, Budapest, New York
CPT1A;5;Prescribed;London, Madrid, Berlin
BCKDHB;3;Prescribed;Bangkok, Tel Aviv, Heidelberg
DPYD;5;Flexible;
QDPR;4;Prescribed;Budapest, Madrid, Tel Aviv
ASPA;5;Prescribed;New York, Berlin, Paris
SLC17A5;5;Prescribed;London, Berlin, Bangkok
ABCA1;32;Prescribed;Bangkok, Heidelberg
ARG1;5;Prescribed;Tokyo, Tel Aviv, Heidelberg, Paris
ALDH4A1;5;Prescribed;Heidelberg, Madrid, Budapest, Tokyo
ALG6;67;Flexible;
GYS2;4;Prescribed;Tokyo, New York, Tel Aviv
CTNS;5;Prescribed;Heidelberg, Tel Aviv, Paris
TH;5;Prescribed;Bangkok, Berlin, Heidelberg
SLC19A3;21;Prescribed;London, Tel Aviv, Madrid, Heidelberg
FH;5;Flexible;
GALC;5;Prescribed;New York, Paris, Tel Aviv
PHYH;5;Prescribed;Bangkok, Berlin, Tel Aviv
DBT;5;Prescribed;Heidelberg, Bangkok, Budapest
GNS;23;Prescribed;New York, Paris, Tel Aviv
HEXB;5;Flexible;
GUSB;5;Prescribed;Tokyo, Tel Aviv, Paris
ALDH5A1;5;Prescribed;Bangkok, Heidelberg, Berlin
GALE;5;Flexible;
CPS1;10;Flexible;
HPRT1;10;Flexible;
FTCD;5;Prescribed;Tokyo, Madrid, Heidelberg, Tel Aviv
